N	// directed
N	// weighted
37	// vertex count
33	// edge count for vertex 1
5	// edge (1 to 5)
6	// edge (1 to 6)
7	// edge (1 to 7)
8	// edge (1 to 8)
9	// edge (1 to 9)
10	// edge (1 to 10)
11	// edge (1 to 11)
12	// edge (1 to 12)
13	// edge (1 to 13)
14	// edge (1 to 14)
15	// edge (1 to 15)
16	// edge (1 to 16)
17	// edge (1 to 17)
18	// edge (1 to 18)
19	// edge (1 to 19)
20	// edge (1 to 20)
21	// edge (1 to 21)
22	// edge (1 to 22)
23	// edge (1 to 23)
24	// edge (1 to 24)
25	// edge (1 to 25)
26	// edge (1 to 26)
27	// edge (1 to 27)
28	// edge (1 to 28)
29	// edge (1 to 29)
30	// edge (1 to 30)
31	// edge (1 to 31)
32	// edge (1 to 32)
33	// edge (1 to 33)
34	// edge (1 to 34)
35	// edge (1 to 35)
36	// edge (1 to 36)
37	// edge (1 to 37)
33	// edge count for vertex 2
5	// edge (2 to 5)
6	// edge (2 to 6)
7	// edge (2 to 7)
8	// edge (2 to 8)
9	// edge (2 to 9)
10	// edge (2 to 10)
11	// edge (2 to 11)
12	// edge (2 to 12)
13	// edge (2 to 13)
14	// edge (2 to 14)
15	// edge (2 to 15)
16	// edge (2 to 16)
17	// edge (2 to 17)
18	// edge (2 to 18)
19	// edge (2 to 19)
20	// edge (2 to 20)
21	// edge (2 to 21)
22	// edge (2 to 22)
23	// edge (2 to 23)
24	// edge (2 to 24)
25	// edge (2 to 25)
26	// edge (2 to 26)
27	// edge (2 to 27)
28	// edge (2 to 28)
29	// edge (2 to 29)
30	// edge (2 to 30)
31	// edge (2 to 31)
32	// edge (2 to 32)
33	// edge (2 to 33)
34	// edge (2 to 34)
35	// edge (2 to 35)
36	// edge (2 to 36)
37	// edge (2 to 37)
33	// edge count for vertex 3
5	// edge (3 to 5)
6	// edge (3 to 6)
7	// edge (3 to 7)
8	// edge (3 to 8)
9	// edge (3 to 9)
10	// edge (3 to 10)
11	// edge (3 to 11)
12	// edge (3 to 12)
13	// edge (3 to 13)
14	// edge (3 to 14)
15	// edge (3 to 15)
16	// edge (3 to 16)
17	// edge (3 to 17)
18	// edge (3 to 18)
19	// edge (3 to 19)
20	// edge (3 to 20)
21	// edge (3 to 21)
22	// edge (3 to 22)
23	// edge (3 to 23)
24	// edge (3 to 24)
25	// edge (3 to 25)
26	// edge (3 to 26)
27	// edge (3 to 27)
28	// edge (3 to 28)
29	// edge (3 to 29)
30	// edge (3 to 30)
31	// edge (3 to 31)
32	// edge (3 to 32)
33	// edge (3 to 33)
34	// edge (3 to 34)
35	// edge (3 to 35)
36	// edge (3 to 36)
37	// edge (3 to 37)
33	// edge count for vertex 4
5	// edge (4 to 5)
6	// edge (4 to 6)
7	// edge (4 to 7)
8	// edge (4 to 8)
9	// edge (4 to 9)
10	// edge (4 to 10)
11	// edge (4 to 11)
12	// edge (4 to 12)
13	// edge (4 to 13)
14	// edge (4 to 14)
15	// edge (4 to 15)
16	// edge (4 to 16)
17	// edge (4 to 17)
18	// edge (4 to 18)
19	// edge (4 to 19)
20	// edge (4 to 20)
21	// edge (4 to 21)
22	// edge (4 to 22)
23	// edge (4 to 23)
24	// edge (4 to 24)
25	// edge (4 to 25)
26	// edge (4 to 26)
27	// edge (4 to 27)
28	// edge (4 to 28)
29	// edge (4 to 29)
30	// edge (4 to 30)
31	// edge (4 to 31)
32	// edge (4 to 32)
33	// edge (4 to 33)
34	// edge (4 to 34)
35	// edge (4 to 35)
36	// edge (4 to 36)
37	// edge (4 to 37)
33	// edge count for vertex 5
1	// edge (5 to 1)
2	// edge (5 to 2)
3	// edge (5 to 3)
4	// edge (5 to 4)
9	// edge (5 to 9)
10	// edge (5 to 10)
11	// edge (5 to 11)
12	// edge (5 to 12)
13	// edge (5 to 13)
14	// edge (5 to 14)
15	// edge (5 to 15)
16	// edge (5 to 16)
17	// edge (5 to 17)
18	// edge (5 to 18)
19	// edge (5 to 19)
20	// edge (5 to 20)
21	// edge (5 to 21)
22	// edge (5 to 22)
23	// edge (5 to 23)
24	// edge (5 to 24)
25	// edge (5 to 25)
26	// edge (5 to 26)
27	// edge (5 to 27)
28	// edge (5 to 28)
29	// edge (5 to 29)
30	// edge (5 to 30)
31	// edge (5 to 31)
32	// edge (5 to 32)
33	// edge (5 to 33)
34	// edge (5 to 34)
35	// edge (5 to 35)
36	// edge (5 to 36)
37	// edge (5 to 37)
33	// edge count for vertex 6
1	// edge (6 to 1)
2	// edge (6 to 2)
3	// edge (6 to 3)
4	// edge (6 to 4)
9	// edge (6 to 9)
10	// edge (6 to 10)
11	// edge (6 to 11)
12	// edge (6 to 12)
13	// edge (6 to 13)
14	// edge (6 to 14)
15	// edge (6 to 15)
16	// edge (6 to 16)
17	// edge (6 to 17)
18	// edge (6 to 18)
19	// edge (6 to 19)
20	// edge (6 to 20)
21	// edge (6 to 21)
22	// edge (6 to 22)
23	// edge (6 to 23)
24	// edge (6 to 24)
25	// edge (6 to 25)
26	// edge (6 to 26)
27	// edge (6 to 27)
28	// edge (6 to 28)
29	// edge (6 to 29)
30	// edge (6 to 30)
31	// edge (6 to 31)
32	// edge (6 to 32)
33	// edge (6 to 33)
34	// edge (6 to 34)
35	// edge (6 to 35)
36	// edge (6 to 36)
37	// edge (6 to 37)
33	// edge count for vertex 7
1	// edge (7 to 1)
2	// edge (7 to 2)
3	// edge (7 to 3)
4	// edge (7 to 4)
9	// edge (7 to 9)
10	// edge (7 to 10)
11	// edge (7 to 11)
12	// edge (7 to 12)
13	// edge (7 to 13)
14	// edge (7 to 14)
15	// edge (7 to 15)
16	// edge (7 to 16)
17	// edge (7 to 17)
18	// edge (7 to 18)
19	// edge (7 to 19)
20	// edge (7 to 20)
21	// edge (7 to 21)
22	// edge (7 to 22)
23	// edge (7 to 23)
24	// edge (7 to 24)
25	// edge (7 to 25)
26	// edge (7 to 26)
27	// edge (7 to 27)
28	// edge (7 to 28)
29	// edge (7 to 29)
30	// edge (7 to 30)
31	// edge (7 to 31)
32	// edge (7 to 32)
33	// edge (7 to 33)
34	// edge (7 to 34)
35	// edge (7 to 35)
36	// edge (7 to 36)
37	// edge (7 to 37)
33	// edge count for vertex 8
1	// edge (8 to 1)
2	// edge (8 to 2)
3	// edge (8 to 3)
4	// edge (8 to 4)
9	// edge (8 to 9)
10	// edge (8 to 10)
11	// edge (8 to 11)
12	// edge (8 to 12)
13	// edge (8 to 13)
14	// edge (8 to 14)
15	// edge (8 to 15)
16	// edge (8 to 16)
17	// edge (8 to 17)
18	// edge (8 to 18)
19	// edge (8 to 19)
20	// edge (8 to 20)
21	// edge (8 to 21)
22	// edge (8 to 22)
23	// edge (8 to 23)
24	// edge (8 to 24)
25	// edge (8 to 25)
26	// edge (8 to 26)
27	// edge (8 to 27)
28	// edge (8 to 28)
29	// edge (8 to 29)
30	// edge (8 to 30)
31	// edge (8 to 31)
32	// edge (8 to 32)
33	// edge (8 to 33)
34	// edge (8 to 34)
35	// edge (8 to 35)
36	// edge (8 to 36)
37	// edge (8 to 37)
33	// edge count for vertex 9
1	// edge (9 to 1)
2	// edge (9 to 2)
3	// edge (9 to 3)
4	// edge (9 to 4)
5	// edge (9 to 5)
6	// edge (9 to 6)
7	// edge (9 to 7)
8	// edge (9 to 8)
13	// edge (9 to 13)
14	// edge (9 to 14)
15	// edge (9 to 15)
16	// edge (9 to 16)
17	// edge (9 to 17)
18	// edge (9 to 18)
19	// edge (9 to 19)
20	// edge (9 to 20)
21	// edge (9 to 21)
22	// edge (9 to 22)
23	// edge (9 to 23)
24	// edge (9 to 24)
25	// edge (9 to 25)
26	// edge (9 to 26)
27	// edge (9 to 27)
28	// edge (9 to 28)
29	// edge (9 to 29)
30	// edge (9 to 30)
31	// edge (9 to 31)
32	// edge (9 to 32)
33	// edge (9 to 33)
34	// edge (9 to 34)
35	// edge (9 to 35)
36	// edge (9 to 36)
37	// edge (9 to 37)
33	// edge count for vertex 10
1	// edge (10 to 1)
2	// edge (10 to 2)
3	// edge (10 to 3)
4	// edge (10 to 4)
5	// edge (10 to 5)
6	// edge (10 to 6)
7	// edge (10 to 7)
8	// edge (10 to 8)
13	// edge (10 to 13)
14	// edge (10 to 14)
15	// edge (10 to 15)
16	// edge (10 to 16)
17	// edge (10 to 17)
18	// edge (10 to 18)
19	// edge (10 to 19)
20	// edge (10 to 20)
21	// edge (10 to 21)
22	// edge (10 to 22)
23	// edge (10 to 23)
24	// edge (10 to 24)
25	// edge (10 to 25)
26	// edge (10 to 26)
27	// edge (10 to 27)
28	// edge (10 to 28)
29	// edge (10 to 29)
30	// edge (10 to 30)
31	// edge (10 to 31)
32	// edge (10 to 32)
33	// edge (10 to 33)
34	// edge (10 to 34)
35	// edge (10 to 35)
36	// edge (10 to 36)
37	// edge (10 to 37)
33	// edge count for vertex 11
1	// edge (11 to 1)
2	// edge (11 to 2)
3	// edge (11 to 3)
4	// edge (11 to 4)
5	// edge (11 to 5)
6	// edge (11 to 6)
7	// edge (11 to 7)
8	// edge (11 to 8)
13	// edge (11 to 13)
14	// edge (11 to 14)
15	// edge (11 to 15)
16	// edge (11 to 16)
17	// edge (11 to 17)
18	// edge (11 to 18)
19	// edge (11 to 19)
20	// edge (11 to 20)
21	// edge (11 to 21)
22	// edge (11 to 22)
23	// edge (11 to 23)
24	// edge (11 to 24)
25	// edge (11 to 25)
26	// edge (11 to 26)
27	// edge (11 to 27)
28	// edge (11 to 28)
29	// edge (11 to 29)
30	// edge (11 to 30)
31	// edge (11 to 31)
32	// edge (11 to 32)
33	// edge (11 to 33)
34	// edge (11 to 34)
35	// edge (11 to 35)
36	// edge (11 to 36)
37	// edge (11 to 37)
33	// edge count for vertex 12
1	// edge (12 to 1)
2	// edge (12 to 2)
3	// edge (12 to 3)
4	// edge (12 to 4)
5	// edge (12 to 5)
6	// edge (12 to 6)
7	// edge (12 to 7)
8	// edge (12 to 8)
13	// edge (12 to 13)
14	// edge (12 to 14)
15	// edge (12 to 15)
16	// edge (12 to 16)
17	// edge (12 to 17)
18	// edge (12 to 18)
19	// edge (12 to 19)
20	// edge (12 to 20)
21	// edge (12 to 21)
22	// edge (12 to 22)
23	// edge (12 to 23)
24	// edge (12 to 24)
25	// edge (12 to 25)
26	// edge (12 to 26)
27	// edge (12 to 27)
28	// edge (12 to 28)
29	// edge (12 to 29)
30	// edge (12 to 30)
31	// edge (12 to 31)
32	// edge (12 to 32)
33	// edge (12 to 33)
34	// edge (12 to 34)
35	// edge (12 to 35)
36	// edge (12 to 36)
37	// edge (12 to 37)
33	// edge count for vertex 13
1	// edge (13 to 1)
2	// edge (13 to 2)
3	// edge (13 to 3)
4	// edge (13 to 4)
5	// edge (13 to 5)
6	// edge (13 to 6)
7	// edge (13 to 7)
8	// edge (13 to 8)
9	// edge (13 to 9)
10	// edge (13 to 10)
11	// edge (13 to 11)
12	// edge (13 to 12)
17	// edge (13 to 17)
18	// edge (13 to 18)
19	// edge (13 to 19)
20	// edge (13 to 20)
21	// edge (13 to 21)
22	// edge (13 to 22)
23	// edge (13 to 23)
24	// edge (13 to 24)
25	// edge (13 to 25)
26	// edge (13 to 26)
27	// edge (13 to 27)
28	// edge (13 to 28)
29	// edge (13 to 29)
30	// edge (13 to 30)
31	// edge (13 to 31)
32	// edge (13 to 32)
33	// edge (13 to 33)
34	// edge (13 to 34)
35	// edge (13 to 35)
36	// edge (13 to 36)
37	// edge (13 to 37)
33	// edge count for vertex 14
1	// edge (14 to 1)
2	// edge (14 to 2)
3	// edge (14 to 3)
4	// edge (14 to 4)
5	// edge (14 to 5)
6	// edge (14 to 6)
7	// edge (14 to 7)
8	// edge (14 to 8)
9	// edge (14 to 9)
10	// edge (14 to 10)
11	// edge (14 to 11)
12	// edge (14 to 12)
17	// edge (14 to 17)
18	// edge (14 to 18)
19	// edge (14 to 19)
20	// edge (14 to 20)
21	// edge (14 to 21)
22	// edge (14 to 22)
23	// edge (14 to 23)
24	// edge (14 to 24)
25	// edge (14 to 25)
26	// edge (14 to 26)
27	// edge (14 to 27)
28	// edge (14 to 28)
29	// edge (14 to 29)
30	// edge (14 to 30)
31	// edge (14 to 31)
32	// edge (14 to 32)
33	// edge (14 to 33)
34	// edge (14 to 34)
35	// edge (14 to 35)
36	// edge (14 to 36)
37	// edge (14 to 37)
33	// edge count for vertex 15
1	// edge (15 to 1)
2	// edge (15 to 2)
3	// edge (15 to 3)
4	// edge (15 to 4)
5	// edge (15 to 5)
6	// edge (15 to 6)
7	// edge (15 to 7)
8	// edge (15 to 8)
9	// edge (15 to 9)
10	// edge (15 to 10)
11	// edge (15 to 11)
12	// edge (15 to 12)
17	// edge (15 to 17)
18	// edge (15 to 18)
19	// edge (15 to 19)
20	// edge (15 to 20)
21	// edge (15 to 21)
22	// edge (15 to 22)
23	// edge (15 to 23)
24	// edge (15 to 24)
25	// edge (15 to 25)
26	// edge (15 to 26)
27	// edge (15 to 27)
28	// edge (15 to 28)
29	// edge (15 to 29)
30	// edge (15 to 30)
31	// edge (15 to 31)
32	// edge (15 to 32)
33	// edge (15 to 33)
34	// edge (15 to 34)
35	// edge (15 to 35)
36	// edge (15 to 36)
37	// edge (15 to 37)
33	// edge count for vertex 16
1	// edge (16 to 1)
2	// edge (16 to 2)
3	// edge (16 to 3)
4	// edge (16 to 4)
5	// edge (16 to 5)
6	// edge (16 to 6)
7	// edge (16 to 7)
8	// edge (16 to 8)
9	// edge (16 to 9)
10	// edge (16 to 10)
11	// edge (16 to 11)
12	// edge (16 to 12)
17	// edge (16 to 17)
18	// edge (16 to 18)
19	// edge (16 to 19)
20	// edge (16 to 20)
21	// edge (16 to 21)
22	// edge (16 to 22)
23	// edge (16 to 23)
24	// edge (16 to 24)
25	// edge (16 to 25)
26	// edge (16 to 26)
27	// edge (16 to 27)
28	// edge (16 to 28)
29	// edge (16 to 29)
30	// edge (16 to 30)
31	// edge (16 to 31)
32	// edge (16 to 32)
33	// edge (16 to 33)
34	// edge (16 to 34)
35	// edge (16 to 35)
36	// edge (16 to 36)
37	// edge (16 to 37)
33	// edge count for vertex 17
1	// edge (17 to 1)
2	// edge (17 to 2)
3	// edge (17 to 3)
4	// edge (17 to 4)
5	// edge (17 to 5)
6	// edge (17 to 6)
7	// edge (17 to 7)
8	// edge (17 to 8)
9	// edge (17 to 9)
10	// edge (17 to 10)
11	// edge (17 to 11)
12	// edge (17 to 12)
13	// edge (17 to 13)
14	// edge (17 to 14)
15	// edge (17 to 15)
16	// edge (17 to 16)
21	// edge (17 to 21)
22	// edge (17 to 22)
23	// edge (17 to 23)
24	// edge (17 to 24)
25	// edge (17 to 25)
26	// edge (17 to 26)
27	// edge (17 to 27)
28	// edge (17 to 28)
29	// edge (17 to 29)
30	// edge (17 to 30)
31	// edge (17 to 31)
32	// edge (17 to 32)
33	// edge (17 to 33)
34	// edge (17 to 34)
35	// edge (17 to 35)
36	// edge (17 to 36)
37	// edge (17 to 37)
33	// edge count for vertex 18
1	// edge (18 to 1)
2	// edge (18 to 2)
3	// edge (18 to 3)
4	// edge (18 to 4)
5	// edge (18 to 5)
6	// edge (18 to 6)
7	// edge (18 to 7)
8	// edge (18 to 8)
9	// edge (18 to 9)
10	// edge (18 to 10)
11	// edge (18 to 11)
12	// edge (18 to 12)
13	// edge (18 to 13)
14	// edge (18 to 14)
15	// edge (18 to 15)
16	// edge (18 to 16)
21	// edge (18 to 21)
22	// edge (18 to 22)
23	// edge (18 to 23)
24	// edge (18 to 24)
25	// edge (18 to 25)
26	// edge (18 to 26)
27	// edge (18 to 27)
28	// edge (18 to 28)
29	// edge (18 to 29)
30	// edge (18 to 30)
31	// edge (18 to 31)
32	// edge (18 to 32)
33	// edge (18 to 33)
34	// edge (18 to 34)
35	// edge (18 to 35)
36	// edge (18 to 36)
37	// edge (18 to 37)
33	// edge count for vertex 19
1	// edge (19 to 1)
2	// edge (19 to 2)
3	// edge (19 to 3)
4	// edge (19 to 4)
5	// edge (19 to 5)
6	// edge (19 to 6)
7	// edge (19 to 7)
8	// edge (19 to 8)
9	// edge (19 to 9)
10	// edge (19 to 10)
11	// edge (19 to 11)
12	// edge (19 to 12)
13	// edge (19 to 13)
14	// edge (19 to 14)
15	// edge (19 to 15)
16	// edge (19 to 16)
21	// edge (19 to 21)
22	// edge (19 to 22)
23	// edge (19 to 23)
24	// edge (19 to 24)
25	// edge (19 to 25)
26	// edge (19 to 26)
27	// edge (19 to 27)
28	// edge (19 to 28)
29	// edge (19 to 29)
30	// edge (19 to 30)
31	// edge (19 to 31)
32	// edge (19 to 32)
33	// edge (19 to 33)
34	// edge (19 to 34)
35	// edge (19 to 35)
36	// edge (19 to 36)
37	// edge (19 to 37)
33	// edge count for vertex 20
1	// edge (20 to 1)
2	// edge (20 to 2)
3	// edge (20 to 3)
4	// edge (20 to 4)
5	// edge (20 to 5)
6	// edge (20 to 6)
7	// edge (20 to 7)
8	// edge (20 to 8)
9	// edge (20 to 9)
10	// edge (20 to 10)
11	// edge (20 to 11)
12	// edge (20 to 12)
13	// edge (20 to 13)
14	// edge (20 to 14)
15	// edge (20 to 15)
16	// edge (20 to 16)
21	// edge (20 to 21)
22	// edge (20 to 22)
23	// edge (20 to 23)
24	// edge (20 to 24)
25	// edge (20 to 25)
26	// edge (20 to 26)
27	// edge (20 to 27)
28	// edge (20 to 28)
29	// edge (20 to 29)
30	// edge (20 to 30)
31	// edge (20 to 31)
32	// edge (20 to 32)
33	// edge (20 to 33)
34	// edge (20 to 34)
35	// edge (20 to 35)
36	// edge (20 to 36)
37	// edge (20 to 37)
33	// edge count for vertex 21
1	// edge (21 to 1)
2	// edge (21 to 2)
3	// edge (21 to 3)
4	// edge (21 to 4)
5	// edge (21 to 5)
6	// edge (21 to 6)
7	// edge (21 to 7)
8	// edge (21 to 8)
9	// edge (21 to 9)
10	// edge (21 to 10)
11	// edge (21 to 11)
12	// edge (21 to 12)
13	// edge (21 to 13)
14	// edge (21 to 14)
15	// edge (21 to 15)
16	// edge (21 to 16)
17	// edge (21 to 17)
18	// edge (21 to 18)
19	// edge (21 to 19)
20	// edge (21 to 20)
25	// edge (21 to 25)
26	// edge (21 to 26)
27	// edge (21 to 27)
28	// edge (21 to 28)
29	// edge (21 to 29)
30	// edge (21 to 30)
31	// edge (21 to 31)
32	// edge (21 to 32)
33	// edge (21 to 33)
34	// edge (21 to 34)
35	// edge (21 to 35)
36	// edge (21 to 36)
37	// edge (21 to 37)
33	// edge count for vertex 22
1	// edge (22 to 1)
2	// edge (22 to 2)
3	// edge (22 to 3)
