N	// directed
N	// weighted
13	// vertex count
9	// edge count for vertex 1
5	// edge (1 to 5)
6	// edge (1 to 6)
7	// edge (1 to 7)
8	// edge (1 to 8)
9	// edge (1 to 9)
10	// edge (1 to 10)
11	// edge (1 to 11)
12	// edge (1 to 12)
13	// edge (1 to 13)
9	// edge count for vertex 2
5	// edge (2 to 5)
6	// edge (2 to 6)
7	// edge (2 to 7)
8	// edge (2 to 8)
9	// edge (2 to 9)
10	// edge (2 to 10)
11	// edge (2 to 11)
12	// edge (2 to 12)
13	// edge (2 to 13)
9	// edge count for vertex 3
5	// edge (3 to 5)
6	// edge (3 to 6)
7	// edge (3 to 7)
8	// edge (3 to 8)
9	// edge (3 to 9)
10	// edge (3 to 10)
11	// edge (3 to 11)
12	// edge (3 to 12)
13	// edge (3 to 13)
9	// edge count for vertex 4
5	// edge (4 to 5)
6	// edge (4 to 6)
7	// edge (4 to 7)
8	// edge (4 to 8)
9	// edge (4 to 9)
10	// edge (4 to 10)
11	// edge (4 to 11)
12	// edge (4 to 12)
13	// edge (4 to 13)
9	// edge count for vertex 5
1	// edge (5 to 1)
2	// edge (5 to 2)
3	// edge (5 to 3)
4	// edge (5 to 4)
9	// edge (5 to 9)
10	// edge (5 to 10)
11	// edge (5 to 11)
12	// edge (5 to 12)
13	// edge (5 to 13)
9	// edge count for vertex 6
1	// edge (6 to 1)
2	// edge (6 to 2)
3	// edge (6 to 3)
4	// edge (6 to 4)
9	// edge (6 to 9)
10	// edge (6 to 10)
11	// edge (6 to 11)
12	// edge (6 to 12)
13	// edge (6 to 13)
9	// edge count for vertex 7
1	// edge (7 to 1)
2	// edge (7 to 2)
3	// edge (7 to 3)
4	// edge (7 to 4)
9	// edge (7 to 9)
10	// edge (7 to 10)
11	// edge (7 to 11)
12	// edge (7 to 12)
13	// edge (7 to 13)
9	// edge count for vertex 8
1	// edge (8 to 1)
2	// edge (8 to 2)
3	// edge (8 to 3)
4	// edge (8 to 4)
9	// edge (8 to 9)
10	// edge (8 to 10)
11	// edge (8 to 11)
12	// edge (8 to 12)
13	// edge (8 to 13)
8	// edge count for vertex 9
1	// edge (9 to 1)
2	// edge (9 to 2)
3	// edge (9 to 3)
4	// edge (9 to 4)
5	// edge (9 to 5)
6	// edge (9 to 6)
7	// edge (9 to 7)
8	// edge (9 to 8)
8	// edge count for vertex 10
1	// edge (10 to 1)
2	// edge (10 to 2)
3	// edge (10 to 3)
4	// edge (10 to 4)
5	// edge (10 to 5)
6	// edge (10 to 6)
7	// edge (10 to 7)
8	// edge (10 to 8)
8	// edge count for vertex 11
1	// edge (11 to 1)
2	// edge (11 to 2)
3	// edge (11 to 3)
4	// edge (11 to 4)
5	// edge (11 to 5)
6	// edge (11 to 6)
7	// edge (11 to 7)
8	// edge (11 to 8)
8	// edge count for vertex 12
1	// edge (12 to 1)
2	// edge (12 to 2)
3	// edge (12 to 3)
4	// edge (12 to 4)
5	// edge (12 to 5)
6	// edge (12 to 6)
7	// edge (12 to 7)
8	// edge (12 to 8)
8	// edge count for vertex 13
1	// edge (13 to 1)
2	// edge (13 to 2)
3	// edge (13 to 3)
4	// edge (13 to 4)
5	// edge (13 to 5)
6	// edge (13 to 6)
7	// edge (13 to 7)
8	// edge (13 to 8)
