N	// directed
N	// weighted
16	// vertex count
12	// edge count for vertex 1
5	// edge (1 to 5)
6	// edge (1 to 6)
7	// edge (1 to 7)
8	// edge (1 to 8)
9	// edge (1 to 9)
10	// edge (1 to 10)
11	// edge (1 to 11)
12	// edge (1 to 12)
13	// edge (1 to 13)
14	// edge (1 to 14)
15	// edge (1 to 15)
16	// edge (1 to 16)
12	// edge count for vertex 2
5	// edge (2 to 5)
6	// edge (2 to 6)
7	// edge (2 to 7)
8	// edge (2 to 8)
9	// edge (2 to 9)
10	// edge (2 to 10)
11	// edge (2 to 11)
12	// edge (2 to 12)
13	// edge (2 to 13)
14	// edge (2 to 14)
15	// edge (2 to 15)
16	// edge (2 to 16)
12	// edge count for vertex 3
5	// edge (3 to 5)
6	// edge (3 to 6)
7	// edge (3 to 7)
8	// edge (3 to 8)
9	// edge (3 to 9)
10	// edge (3 to 10)
11	// edge (3 to 11)
12	// edge (3 to 12)
13	// edge (3 to 13)
14	// edge (3 to 14)
15	// edge (3 to 15)
16	// edge (3 to 16)
12	// edge count for vertex 4
5	// edge (4 to 5)
6	// edge (4 to 6)
7	// edge (4 to 7)
8	// edge (4 to 8)
9	// edge (4 to 9)
10	// edge (4 to 10)
11	// edge (4 to 11)
12	// edge (4 to 12)
13	// edge (4 to 13)
14	// edge (4 to 14)
15	// edge (4 to 15)
16	// edge (4 to 16)
12	// edge count for vertex 5
1	// edge (5 to 1)
2	// edge (5 to 2)
3	// edge (5 to 3)
4	// edge (5 to 4)
9	// edge (5 to 9)
10	// edge (5 to 10)
11	// edge (5 to 11)
12	// edge (5 to 12)
13	// edge (5 to 13)
14	// edge (5 to 14)
15	// edge (5 to 15)
16	// edge (5 to 16)
12	// edge count for vertex 6
1	// edge (6 to 1)
2	// edge (6 to 2)
3	// edge (6 to 3)
4	// edge (6 to 4)
9	// edge (6 to 9)
10	// edge (6 to 10)
11	// edge (6 to 11)
12	// edge (6 to 12)
13	// edge (6 to 13)
14	// edge (6 to 14)
15	// edge (6 to 15)
16	// edge (6 to 16)
12	// edge count for vertex 7
1	// edge (7 to 1)
2	// edge (7 to 2)
3	// edge (7 to 3)
4	// edge (7 to 4)
9	// edge (7 to 9)
10	// edge (7 to 10)
11	// edge (7 to 11)
12	// edge (7 to 12)
13	// edge (7 to 13)
14	// edge (7 to 14)
15	// edge (7 to 15)
16	// edge (7 to 16)
12	// edge count for vertex 8
1	// edge (8 to 1)
2	// edge (8 to 2)
3	// edge (8 to 3)
4	// edge (8 to 4)
9	// edge (8 to 9)
10	// edge (8 to 10)
11	// edge (8 to 11)
12	// edge (8 to 12)
13	// edge (8 to 13)
14	// edge (8 to 14)
15	// edge (8 to 15)
16	// edge (8 to 16)
12	// edge count for vertex 9
1	// edge (9 to 1)
2	// edge (9 to 2)
3	// edge (9 to 3)
4	// edge (9 to 4)
5	// edge (9 to 5)
6	// edge (9 to 6)
7	// edge (9 to 7)
8	// edge (9 to 8)
13	// edge (9 to 13)
14	// edge (9 to 14)
15	// edge (9 to 15)
16	// edge (9 to 16)
12	// edge count for vertex 10
1	// edge (10 to 1)
2	// edge (10 to 2)
3	// edge (10 to 3)
4	// edge (10 to 4)
5	// edge (10 to 5)
6	// edge (10 to 6)
7	// edge (10 to 7)
8	// edge (10 to 8)
13	// edge (10 to 13)
14	// edge (10 to 14)
15	// edge (10 to 15)
16	// edge (10 to 16)
12	// edge count for vertex 11
1	// edge (11 to 1)
2	// edge (11 to 2)
3	// edge (11 to 3)
4	// edge (11 to 4)
5	// edge (11 to 5)
6	// edge (11 to 6)
7	// edge (11 to 7)
8	// edge (11 to 8)
13	// edge (11 to 13)
14	// edge (11 to 14)
15	// edge (11 to 15)
16	// edge (11 to 16)
12	// edge count for vertex 12
1	// edge (12 to 1)
2	// edge (12 to 2)
3	// edge (12 to 3)
4	// edge (12 to 4)
5	// edge (12 to 5)
6	// edge (12 to 6)
7	// edge (12 to 7)
8	// edge (12 to 8)
13	// edge (12 to 13)
14	// edge (12 to 14)
15	// edge (12 to 15)
16	// edge (12 to 16)
12	// edge count for vertex 13
1	// edge (13 to 1)
2	// edge (13 to 2)
3	// edge (13 to 3)
4	// edge (13 to 4)
5	// edge (13 to 5)
6	// edge (13 to 6)
7	// edge (13 to 7)
8	// edge (13 to 8)
9	// edge (13 to 9)
10	// edge (13 to 10)
11	// edge (13 to 11)
12	// edge (13 to 12)
12	// edge count for vertex 14
1	// edge (14 to 1)
2	// edge (14 to 2)
3	// edge (14 to 3)
4	// edge (14 to 4)
5	// edge (14 to 5)
6	// edge (14 to 6)
7	// edge (14 to 7)
8	// edge (14 to 8)
9	// edge (14 to 9)
10	// edge (14 to 10)
11	// edge (14 to 11)
12	// edge (14 to 12)
12	// edge count for vertex 15
1	// edge (15 to 1)
2	// edge (15 to 2)
3	// edge (15 to 3)
4	// edge (15 to 4)
5	// edge (15 to 5)
6	// edge (15 to 6)
7	// edge (15 to 7)
8	// edge (15 to 8)
9	// edge (15 to 9)
10	// edge (15 to 10)
11	// edge (15 to 11)
12	// edge (15 to 12)
12	// edge count for vertex 16
1	// edge (16 to 1)
2	// edge (16 to 2)
3	// edge (16 to 3)
4	// edge (16 to 4)
5	// edge (16 to 5)
6	// edge (16 to 6)
7	// edge (16 to 7)
8	// edge (16 to 8)
9	// edge (16 to 9)
10	// edge (16 to 10)
11	// edge (16 to 11)
12	// edge (16 to 12)
